한국어,태극어,한자,Add Reverse
휘트니스센터,ศูนย์ฟิตเนส,,y
~살,~ปี ~ขวบ,,y
가게,ร้านขายของชำ,,y
가격,ราคา มูลค่า,價格,y
가끔,เป็นบางครั้ง,,y
가다,ไป,,y
가르치다,สอน,,y
가방,กระเป๋า,,"y "
가사,เนื้อร้อง,歌詞,y
가수,นักร้อง,歌手,y
가위,กรรไกร,,y
가족,ครอบครัว,家族,y
간호원,พยาบาล,看護員,y
강,แม่น้ำ,江,y
강아지,ลูกสุนัข,,y
같이,ด้วยกัน,,y
개 (ลักษณะนาม),อัน ชิ้น,個,y
개 (สัตว์),สุนัข,,y
개미,มด,,y
거기,ที่นั่น,,y
거의,เกือบ แทบจะ,,y
게,ปู,,y
게임,เกม,,y
결혼식,งานแต่งงาน,結婚式,y
경찰관,ตำรวจ,警察官,y
경찰서,สถานีตำรวจ,警察署,y
계란,ไข่ไก่,鶏卵,y
계산,การคำนวณ การคิดเลข,計算,y
계산서,ใบเสร็จรับเงิน บิล,計算書,y
계좌,บัญชีเงินฝาก สมุดบัญชี,計座,y
고기,เนื้อสัตว์,,y
고등학교,โรงเรียนมัธยมศึกษาตอนปลาย,高等學校,y
고맙다,รู้สึกขอบคุณ,,y
고모,คุณอา (ญ),,y
고양이,แมว,,y
곰,หมี,,y
공,ศูนย์ (空),空,y
공무원,ข้าราชการ,公務員,y
공부하다,เรียน ศึกษา,工夫하다,y
공원,สวนสาธารณะ,公園,y
공책,สมุด,空冊,y
공항,สนามบิน,空港,y
과,บทที่,課,y
과일,ผลไม้,,y
과자,ขนม,菓子,y
과학,วิทยาศาสตร์,科學,y
괜찮다,ดี ใช้ได้ ไม่เลว ไม่เป็นไร,,y
교과서,ตำราเรียน,教科書,y
교수,อาจารย์ การสอน การให้ความรู้ (!ㅅ),教授,y
교실,ห้องเรียน,教室,y
구,เก้า (จีน),九,y
구두,รองเท้า (일본),,y
군인,ทหาร,軍人,y
권,เล่ม,巻,y
귀,หู,,y
