中文,ㄅㄆㄇㄈ,泰文,Add Reverse
KTV,,คาราโอเกะ,y
一共,ㄧˊㄍㄨㄥˋ,รวมกัน ด้วยกันหมด,y
一定,ㄧˊㄉㄧㄥˋ,แน่ ๆ ต้อง,y
一會兒,ㄧˋㄏㄨㄟˇㄦ,ในอีกสักครู่,y
一樣,ㄧˊㄧㄤˋ,เหมือนกัน แบบเดียวกัน คล้ายกัน,y
一直,ㄧˋㄓˊ,เรื่อย ๆ ต่อเนื่อง ตลอด ๆ,y
一起,ㄧˋㄑㄧˇ,ด้วยกัน,y
一邊,ㄧˋㄅㄧㄢ,ในขณะเดียวกันก็,y
上午,ㄕㄤˋㄨˇ,ช่วงเช้า,y
上班,ㄕㄤˋㄅㄢ,ไปทำงาน,y
上網,ㄕㄤˋㄨㄤˇ,เชื่อมต่ออินเทอร์เน็ต,y
上課,ㄕㄤˋㄎㄜˋ,เข้าเรียน,y
下午,ㄒㄧㄚˋㄨˇ,ตอนบ่าย,y
下去,ㄒㄧㄚˋㄑㄩˋ,ยังทำอยู่ ทำต่อไปอยู่,y
下次,ㄒㄧㄚˋㄘˋ,ครั้งหน้า,y
下課,ㄒㄧㄚˋㄎㄜˋ,เลิกเรียน,y
下載,ㄒㄧㄚˋㄗㄞˋ,ดาวน์โหลด,y
下雨,ㄒㄧㄚˋㄩˇ,ฝนตก,y
下雪,ㄒㄧㄚˋㄒㄩㄝˇ,หิมะตก,y
不一定,ㄅㄨˋㄧˊㄉㄧㄥˋ,ไม่เสมอไป,y
不同,ㄅㄨˋㄊㄨㄥˊ,แตกต่าง,y
不壞,ㄅㄨˊㄏㄨㄞˋ,ไม่แย่เกินไป,y
不夠,ㄅㄨˊㄍㄡˋ,ไม่เชิง ไม่ค่อย ไม่พอ,y
不得了,ㄅㄨˋㄉㄜˊㄌㄧㄠˇ,อย่างมาก ๆ เป็นที่สุด,y
不必,ㄅㄨˊㄅㄧˋ,ไม่จำเป็น,y
不行,ㄅㄨˋㄒㄧㄥˊ,ทำไม่ได้ เป็นไปไม่ได้ ไม่ได้,y
不見,ㄅㄨˋㄐㄧㄢˋ,หายไป,y
不過,ㄅㄨˋㄍㄨㄛˋ,แต่ว่า อย่างไรก็ดี (!ㄎ!ㄉ),y
不錯,ㄅㄨˊㄘㄨㄛˋ,ไม่เลว,y
世貿展覽館,ㄕˋㄇㄠˋㄓㄢˇㄌㄢˇㄍㄨㄢˇ,ศูนย์แสดงสินค้านานาชาติ,y
丟,ㄉㄧㄡ,ขว้าง ทิ้ง โยน,y
丟進去,ㄉㄧㄡㄐㄧㄣˋㄑㄩˋ,ทิ้งใน โยนเข้าไป,y
中午,ㄓㄨㄥㄨˇ,เที่ยงวัน,y
主任,ㄓㄨˇㄖㄣˋ,ผู้บริหาร ผู้จัดการ,y
久,ㄐㄧㄡˇ,นาน,y
乾淨,ㄍㄢㄐㄧㄥˋ,สะอาด,y
了解,ㄌㄧㄠˇㄐㄧㄝˇ,รับทราบ เข้าใจ,y
亞洲,ㄧㄚˋㄓㄡ,เอเชีย,y
交換,ㄐㄧㄠㄏㄨㄢˋ,แลกเปลี่ยน,y
交通,ㄐㄧㄠㄊㄨㄥ,การคมนาคม,y
今年,ㄐㄧㄣㄋㄧㄢˊ,ปีนี้,y
