français,thaïlandais,Add Reverse
(f.) Italie,ประเทศอิตาลี,y
(f.) l'abeille,ผึ้ง,y
(f.) l'araignée,แมงมุม,y
(f.) l'eau,น้ำ,y
(f.) l'huile,น้ำมัน,y
(f.) l'idée,ความคิด ไอเดีย,y
(f.) l'orange,ส้ม (ผลไม้),y
(f.) l'école,โรงเรียน,y
(f.pl.) les frites,มันฝรั่งทอด,y
(f.pl.) les toilettes,ห้องน้ำ,y
(m.) l'alcool,แอลกอฮอล์ เหล้า,y
(m.) l'an,ปี,y
(m.) l'anniversaire,วันเกิด,y
(m.) l'argent,เงิน,y
(m.) l'aéroport,สนามบิน,y
(m.) l'examen,การสอบ,y
(m.) l'homme,ผู้ชาย,y
(m.) l'insecte,แมลง,y
(m.) l'oignon,หัวหอม,y
(m.) l'oiseau,นก,y
(m.) l'ours,หมี,y
(m.) l'âge,อายุ,y
(m.) l'éléphant,ช้าง,y
(m.) l'étudiant,นักเรียน,y
(m.) l'œuf,ไข่,y
acheter,ซื้อ,y
adorer,รัก ชอบ ชื่นชม,y
affirmer,ยืนยัน,y
africain,ที่เกี่ยวกับแอฟริกา,y
agir,แสดง,y
aider,ช่วยเหลือ,y
aimer,รัก ชอบ,y
ainsi,อย่างนี้ เป็นเช่นนี้,y
ajouter,เพิ่มเข้าไป,y
allemand,เยอรมัน,y
aller,ไป,y
allumer,เปิด (สวิตช์) จุดไฟ,y
alors,งั้น ถ้างั้น ดังนั้น,y
alors que,แม้ว่า ในขณะที่,y
améliorer,ทำให้ดีขึ้น,y
américain,ที่เกี่ยวกับอเมริกา,y
anglais,ที่เกี่ยวกับอังกฤษ,y
appartenir,เป็นของ,y
appeler,เรียก,y
apporter,หยิบไป เอาไป พกไป,y
apprendre,เรียน,y
après,หลังจาก,y
arriver,มาถึง,y
attendre,รอ,y
au-delà,ไกลออกไปกว่า,y
aujourd'hui,วันนี้,y
autant de,เยอะมาก เยอะเท่ากับ,y
avant,ก่อน,y
avec,กับ ด้วย,y
avoir,มี,y
bas,ต่ำ เตี้ย,y
beau,สวย ดูดี (!j),y
beaucoup,มาก,y
bientôt,ไว ๆ นี้ ที่จะถึงนี้,y
blanc,สีขาว,y
bleu,สีน้ำเงิน,y
blond,ที่มีสีทอง บลอนด์,y
boire,ดื่ม,y
bon,ดี,y
brancher,เชื่อมต่อ,y
bronzer,ผิวกลายเป็นสีแทน,y
bête,โง่ งี่เง่า,y
cacher,ซ่อน,y
calme,ที่เงียบ สงบ,y
car,เพราะว่า (๑),y
casser,ทำแตก ทำพัง,y
cet,นี้,y
charger,แบก โหลด ชาร์จ,y
chaud,ร้อน อุ่น (สัมผัส),y
cher,แพง,y
chercher,ค้นหา,y
chez,(บุพบท) ที่บ้าน,y
chinois,ที่เกี่ยวกับจีน,y
clair,ชัดเจน ซีด สว่าง,y
combien,มากเท่าไหร่,y
commander,สั่ง ร้องขอ,y
commencer,เริ่ม,y
comment,อย่างไร,y
comprendre,เข้าใจ,y
concerner,ทำผลกระทบ ทำให้กังวล,y
connaître,รู้จัก,y
contenir,บรรจุ,y
contre,vs,y
couper,ตัด,y
courir,วิ่ง,y
court,สั้น,y
coûter,มีราคา,y
croire,เชื่อ,y
cuisiner,ทำอาหาร,y
danser,เต้น,y
demain,วันพรุ่งนี้,y
depuis,จาก ตั้งแต่,y
dernier,สุดท้าย ล่าสุด,y
derrière,ด้านหลัง,y
deuxième,อันดับที่สอง (!s),y
devenir,กลายเป็น,y
devoir,ต้อง,y
difficile,ยาก,y
diffèrent,ที่แตกต่าง,y
dire,บอก กล่าว พูด,y
donc,แล้ว (es: pues),y
donner,ให้,y
dormir,หลับ,y
doux,หวาน นุ่ม สุภาพ,y
