español,tailandés,Add Reverse
(zodiaco) Acuario,ราศีกุมภ์,y
(zodiaco) Aries,ราศีเมษ,y
(zodiaco) Capricornio,ราศีมังกร,y
(zodiaco) Escorpio,ราศีพิจิก,y
(zodiaco) Leo,ราศีสิงห์,y
(zodiaco) Libra,ราศีตุลย์,y
(zodiaco) Piscis,ราศีมีน,y
(zodiaco) Sagitario,ราศีธนู,y
(zodiaco) Virgo,ราศีกันย์,y
(f.) el agua freática,น้ำบาดาลไม่มีแรงดัน,y
(f.) el alga,สาหร่าย,y
(f.) el ancla,สมอเรือ,y
(f.) el asma,โรคหืด,y
(f.) el asta,เสาธง,y
(f.) el hacha,ขวาน,y
(f.) el águila,นกอินทรี,y
(zodiaco) Cáncer,ราศีกรกฎ,y
(zodiaco) Géminis,ราศีเมถุน,y
(zodiaco) Tauro,ราศีพฤษภ,y
América Central,ทวีปอเมริกากลาง,y
América del Norte,ทวีปอเมริกาเหนือ,Y
América del Sur,ทวีปอเมริกาใต้,y
Checoslovaquia,ประเทศเชโกสโลวาเกีย,y
Escocia,สกอตแลนด์,y
Groenlandia,กรีนแลนด์,y
Oceanía,โอเชียเนีย,y
a condición de que,โดยมีข้อแม้คือ…,y
a cuadros,ที่เป็นลายตารางหมากรุก,y
a hurtadillas,อย่างแอบ ๆ อย่างเงียบ ๆ ไม่ให้ใครรู้,y
a la intemperie,กลางแจ้ง เปิดออก เปิดอก หมดไส้หมดพุง,
a largo plazo,ในระยะยาว,y
a más tardar,อย่างช้าสุด,y
a no ser que,เว้นแต่ว่า (en: unless),y
a pachas,ทีละครึ่ง,
a vuelapluma,อย่างรวดเร็วแบบไม่คิดอะไร ทำไปลวก ๆ,
abalanzar,ขว้าง โยน,
abastecer,จัดหาให้ อุปทาน (a),y
abatir,ยิงฆ่า วิสามัญฆาตกรรม,y
abocarse,มุ่งหน้า ตั้งเป้า,y
abofetear,ตบด้วยฝ่ามือ,y
abollarse,ยุบ หุบเข้าไป,y
abrochar,รัด (เข็มขัด) ติด (กระดุม),y
abrumador,ที่ท่วมท้น (!ap),y
abstenerse de ~,ละเว้น หลีกเลี่ยง (a),y
abuchear,ส่งเสียงโห่,y
acampar,เข้าแคมป์,y
acechar,ติดตามแบบลับ ๆ,y
acertar,ทายถูก ตรงเป้า,y
aciago,อัปมงคล อัปโชค ที่ไม่ดี,y
acicalar,ทำความสะอาด ไซร้เห็บเหา,y
acoger,ยอมรับ ให้การยอมรับ รองรับการลี้ภัย,y
acojonar,ทำให้กลัว,
acongojado,เครียด กดดัน กลัว,
acoplarse,อยู่ด้วยกัน ปรับตัวเข้าด้วยกัน,
acordonar,ปิดล้อม,y
acotar,กั้นรั้ว ล้อมกรอบ,<div>y</div>
acuciante,ที่เร่งด่วน ที่จำเป็น,
acudir,มา เข้าร่วม ไปยัง,
acusar,ฟ้อง (!d),y
adelantar,(ขับรถ)แซง,y
adelantar por la izquierda,แซงซ้าย,y
adelgazar,ทำให้ผอม,y
adhesivo,ที่ติดแน่น ที่เหนียวติด,y
aditivo,ที่เพิ่มเข้ามา,y
adobar,หมักซอส,y
adoctrinar,ล้างสมอง ทำให้หลงเชื่อ,y
adosar,วางข้าง ๆ กัน วางติดกัน,y
adscribir,มอบหมาย,
